Language	Tag acc	Mim acc	p
ta	0.8506	0.8216	0.000002105811
lv	0.8384	0.8230	0.000101944122
vi	0.8467	0.8421	0.000000000000
hu	0.8597	0.8896	0.000000000008
tr	0.8478	0.8491	0.000000000000
bg	0.9242	0.9216	0.000000000000
sv	0.9241	0.9187	0.000000000000
ru	0.8955	0.9039	0.000000000071
da	0.8937	0.8809	0.000029297375
fa	0.9351	0.9346	0.000000000000
he	0.9164	0.9137	0.000000000093
en	0.8552	0.8530	0.000000000000
hi	0.8811	0.8781	0.000000000000
it	0.9237	0.9235	0.000000030239
es	0.9106	0.9035	0.000036159560
cs	0.8999	0.8961	0.000000000000
