Language	Tag acc	Mim acc	p
ta	0.8450	0.8336	0.070287362773
lv	0.8905	0.8621	0.000000000738
vi	0.9066	0.9063	0.000000000000
hu	0.9425	0.9385	0.000012722005
tr	0.9311	0.9116	0.000000000000
bg	0.9768	0.9678	0.000000000000
sv	0.9646	0.9592	0.000000000000
ru	0.9642	0.9576	0.000000000000
da	0.9531	0.9274	0.000000000000
fa	0.9700	0.9679	0.000000000000
he	0.9668	0.9626	0.000000000000
en	0.9406	0.9165	0.000000000000
hi	0.9665	0.9640	0.000000000000
it	0.9799	0.9759	0.000000000000
es	0.9443	0.9407	0.000000000000
cs	0.9811	0.9721	0.000000000000
