Language	Tag acc	Mim acc	p	t-wrong	m-wrong	tokens
ta	84.9673	81.5485	0.000007332979	81	149	1989
lv	84.4908	84.3190	0.693281817504	154	161	4075
vi	84.8516	84.2204	0.019521527606	107	144	5862
hu	85.8323	88.9256	0.000000000000	216	85	4235
tr	84.2270	85.5966	0.000000806335	345	227	8616
bg	93.0278	93.1613	0.456396717773	408	387	15734
sv	92.2658	92.2952	0.841654092597	454	448	20377
ru	88.6451	89.7211	0.000026520188	352	249	9573
da	89.9558	90.1258	0.570060883563	160	150	5884
fa	93.5347	93.5846	0.639666893324	150	142	16024
he	91.9258	91.6866	0.165363064838	204	233	12125
en	88.8907	88.4484	0.001641770181	566	677	25096
hi	87.9170	87.7703	0.312064040939	1297	1349	35430
it	92.4489	92.5037	0.770228951951	214	208	10952
es	91.7138	91.4120	0.148561774892	126	150	7953
cs	90.1650	90.8130	0.000000000000	5981	4854	173920
