Language	Tag F1	Mim F1	p	sentences
ta	0.8460	0.8223	0.000011666825	119
lv	0.7442	0.6557	0.000000000000	222
vi	0.0000	0.0000	nan	399
hu	0.8656	0.8094	0.000000000000	187
tr	0.9060	0.8108	0.000000000000	842
bg	0.9500	0.9173	0.000000000000	1115
sv	0.9596	0.9292	0.000000000000	1218
ru	0.9401	0.9177	0.000000000000	498
da	0.9432	0.9060	0.000000000000	321
fa	0.9660	0.9510	0.000000000000	599
he	0.9318	0.9078	0.000000000000	490
en	0.9063	0.8940	0.000000000000	2076
hi	0.9655	0.9613	0.000000000000	1683
it	0.9786	0.9746	0.000025786651	488
es	0.9480	0.9366	0.000000003409	273
cs	0.9493	0.9312	0.000000000000	10147
