Language	Tag acc	Mim acc	t	p
ta	0.8450	0.8336	1727.5000	0.197781775744	119
lv	0.8905	0.8621	2517.0000	0.000021179212	222
vi	0.9066	0.9063	4018.5000	0.912794414819	399
hu	0.9425	0.9385	1634.0000	0.131619257697	187
tr	0.9311	0.9116	9264.5000	0.000000003373	842
bg	0.9768	0.9678	7593.0000	0.000000385786	1115
sv	0.9646	0.9592	20503.0000	0.000063152490	1218
ru	0.9642	0.9576	4029.5000	0.001027628297	498
da	0.9531	0.9274	2096.0000	0.000058740613	321
fa	0.9700	0.9679	3326.5000	0.041765409374	599
he	0.9668	0.9626	2745.0000	0.002235122039	490
en	0.9406	0.9165	22037.5000	0.000000000000	2076
hi	0.9665	0.9640	32510.5000	0.007480472718	1683
it	0.9799	0.9759	1362.0000	0.002480130188	488
es	0.9443	0.9407	1633.5000	0.068950883087	273
cs	0.9811	0.9721	314239.0000	0.000000000000	10147
