Language	Tag acc	Mim acc	p	t-wrong	m-wrong	tokens
ta	84.1126	82.9563	0.130206291383	104	127	1989
lv	89.5460	87.9509	0.000065265072	100	165	4075
vi	90.4981	90.3446	0.517092208514	92	101	5862
hu	94.0732	93.8843	0.502000718575	67	75	4235
tr	93.1058	91.8175	0.000000002821	119	230	8616
bg	97.9471	97.2925	0.000000002011	96	199	15734
sv	96.6874	96.2654	0.000056416469	185	271	20377
ru	95.9783	95.2053	0.000004837018	94	168	9573
da	96.1251	95.0374	0.000002696126	61	125	5884
fa	97.2042	97.0295	0.033781135421	73	101	16024
he	96.5938	96.1485	0.000271919712	83	137	12125
en	94.8996	94.0389	0.000000000000	200	416	25096
hi	96.6441	96.4522	0.003371250612	235	303	35430
it	97.7630	97.4708	0.002725840027	41	73	10952
es	95.0836	94.8447	0.114596830039	63	82	7953
cs	98.1790	97.6230	0.000000000000	589	1556	173920
