en-fasttext:
POS-acc-avg	2000	5000	10000	20000	50000	100000	204587
nochar	0.732814	0.809464	0.852768	0.879259	0.901002	0.914864	0.922220
tagchar	0.716948	0.819286	0.865166	0.895236	0.918666	0.929720	0.939240
Att-F1-avg	2000	5000	10000	20000	50000	100000	204587
nochar	0.659692	0.774660	0.849639	0.898401	0.923339	0.934978	0.943023
tagchar	0.660333	0.781806	0.870986	0.915602	0.938974	0.949168	0.955326
POS-acc-std	2000	5000	10000	20000	50000	100000	204587
nochar	0.002544	0.004290	0.002407	0.000892	0.001693	0.000948	0.001587
tagchar	0.012103	0.005634	0.002857	0.001476	0.001294	0.000328	0.000425
Att-F1-std	2000	5000	10000	20000	50000	100000	204587
nochar	0.010162	0.011244	0.011132	0.002520	0.001367	0.001378	0.000550
tagchar	0.016186	0.007719	0.010284	0.001239	0.000563	0.000888	0.000269
