lv-polyglot:
POS-acc-avg	2000	5000	10000	13781
alllstm-mchar	0.735385	0.833132	0.880220	0.888736
alllstm-bothchar	0.744670	0.838022	0.892582	0.906978
Att-F1-avg	2000	5000	10000	13781
alllstm-mchar	0.518328	0.574879	0.641120	0.667504
alllstm-bothchar	0.552195	0.620246	0.714626	0.754445
POS-acc-std	2000	5000	10000	13781
alllstm-mchar	0.013353	0.006319	0.001085	0.000936
alllstm-bothchar	0.011537	0.009296	0.003374	0.002767
Att-F1-std	2000	5000	10000	13781
alllstm-mchar	0.011108	0.002988	0.007263	0.008062
alllstm-bothchar	0.011853	0.001994	0.007978	0.010112
