hi-polyglot:
POS-acc-avg	2000	5000	10000	20000	50000	100000	200000	281057
mchar	0.779129	0.868274	0.904234	0.921572	0.939007	0.949110	0.956067	0.959599
bothchar	0.768180	0.871801	0.906698	0.929307	0.943408	0.955067	0.962149	0.963944
Att-F1-avg	2000	5000	10000	20000	50000	100000	200000	281057
mchar	0.792051	0.847885	0.883029	0.915708	0.934833	0.948247	0.955102	0.958361
bothchar	0.784690	0.842231	0.891363	0.925470	0.948123	0.956663	0.961939	0.963645
POS-acc-std	2000	5000	10000	20000	50000	100000	200000	281057
mchar	0.013500	0.003321	0.001153	0.001725	0.000589	0.000742	0.000690	0.000509
bothchar	0.011446	0.005019	0.003971	0.001522	0.000907	0.000989	0.001410	0.000677
Att-F1-std	2000	5000	10000	20000	50000	100000	200000	281057
mchar	0.007219	0.012476	0.012239	0.000451	0.001237	0.001396	0.000544	0.000774
bothchar	0.004703	0.010627	0.004619	0.001993	0.001495	0.000436	0.000574	0.000540
